,family,LinkerVersion,ImageVersion,InitializedDataSize,EntryPoint,MIMEType,TimeStamp,FileType,PEType,SubsystemVersion,UninitializedDataSize,OSVersion,md5,Subsystem,MachineType,CodeSize,FileTypeExtension
38,locky,6.0,0.0,155648,0x22c98,application/octet-stream,2008:04:25 22:05:29+01:00,Win32 EXE,PE32,4.0,0,4.0,d377f4ca5ef69de33e3c58a8d4e76803,Windows GUI,"Intel 386 or later, and compatibles",139264,exe
39,Teslacrypt,8.0,0.0,696320,0x5c70,application/octet-stream,2008:10:25 19:00:15+01:00,Win32 EXE,PE32,5.0,0,5.0,a30863f1a404bc2f735cc9ad862e85a9,Windows GUI,"Intel 386 or later, and compatibles",28672,exe
40,Teslacrypt,8.0,0.0,524288,0x2cc70,application/octet-stream,2008:04:13 20:14:55+01:00,Win32 EXE,PE32,4.0,0,5.0,a2fb8550db4d13c218f98862e24ef105,Windows GUI,"Intel 386 or later, and compatibles",188416,exe
41,Teslacrypt,8.0,0.0,696320,0x5ae0,application/octet-stream,2008:10:25 19:00:15+01:00,Win32 EXE,PE32,5.0,0,5.0,a1559181f4d306118f589dd86a8a3c30,Windows GUI,"Intel 386 or later, and compatibles",24576,exe
42,Teslacrypt,8.0,0.0,524288,0x2c6d0,application/octet-stream,2008:10:25 19:00:15+01:00,Win32 EXE,PE32,5.0,0,5.0,2180152ae725f04088dfc9eae68066a6,Windows GUI,"Intel 386 or later, and compatibles",188416,exe
43,Teslacrypt,8.0,0.0,512000,0x2cc20,application/octet-stream,2008:04:13 20:14:55+01:00,Win32 EXE,PE32,4.0,0,4.0,a448ffac07a217b95d4c6478c487f096,Windows GUI,"Intel 386 or later, and compatibles",188416,exe
44,Teslacrypt,0.0,0.0,696320,0x3850,application/octet-stream,2008:10:25 19:00:15+01:00,Win32 EXE,PE32,5.0,0,5.0,9f82d05168c593b297f222e35f75d1f2,Windows command line,"Intel 386 or later, and compatibles",12288,exe
45,Teslacrypt,8.0,0.0,540672,0x27cc0,application/octet-stream,2008:10:25 19:00:15+01:00,Win32 EXE,PE32,5.0,0,5.0,74bdc7b3c8b04d65de527ebaa5e98c6f,Windows command line,"Intel 386 or later, and compatibles",163840,exe
46,Teslacrypt,8.0,0.0,524288,0x2e5a0,application/octet-stream,2008:10:25 19:00:15+01:00,Win32 EXE,PE32,5.0,0,5.0,a4743f759b43493ff32ce5f70b45946d,Windows GUI,"Intel 386 or later, and compatibles",188416,exe
47,Teslacrypt,8.0,0.0,696320,0x5d80,application/octet-stream,2008:10:25 19:00:15+01:00,Win32 EXE,PE32,5.0,0,5.0,dea0621fc08f5ee517579eee17ab2c14,Windows GUI,"Intel 386 or later, and compatibles",28672,exe
48,Teslacrypt,0.0,0.0,598016,0x1d4d0,application/octet-stream,2008:10:25 19:00:15+01:00,Win32 EXE,PE32,5.0,0,5.0,59be3dee06e4440a0acf98a002558bd1,Windows command line,"Intel 386 or later, and compatibles",118784,exe
49,Teslacrypt,10.0,0.0,26112,0xfb81,application/octet-stream,2016:04:27 10:33:05+01:00,Win32 EXE,PE32,5.1,0,5.1,aaee605dc1238bd916a317ac48f4212d,Windows GUI,"Intel 386 or later, and compatibles",110080,exe
50,Teslacrypt,8.0,0.0,524288,0x2ef40,application/octet-stream,2008:10:25 19:00:15+01:00,Win32 EXE,PE32,5.0,0,5.0,a0f02c3c9bfa3845099f100931b4242b,Windows GUI,"Intel 386 or later, and compatibles",192512,exe
