,fileversion,Comments,Template,LanguageCode,InternalName,SharedDoc,Company,ZipBitFlag,Originalfilename,Legalcopyright,Subsystem,TimeStamp,PEType,Legaltrademarks,FileAccessDate,productversion,OSVersion,LegalCopyright,TotalEditTime,Creator,legaltrademarks,productname,ProductVersionNumber,Warning,Application,ZipFileName,CompanyWebsite,DirectShow,ZipCRC,CharacterSet,comments,CreateDate,AppVersion,UninitializedDataSize,FileOS,md5,legalcopyright,LegalTrademarks,ProductName,FileTypeExtension,AssemblyVersion,ProductVersion,family,LinksUpToDate,LinkerVersion,filedescription,ImageVersion,FileVersionNumber,FileFlagsMask,ModifyDate,FullVersion,companyname,InitializedDataSize,Characters,ScaleCrop,OriginalFileName,Words,Productname,OLESelfRegister,CompanyName,SubsystemVersion,DocSecurity,ZipModifyDate,internalname,HeadingPairs,ZipCompression,CodeSize,MIMEType,HyperlinksChanged,LastModifiedBy,ZipRequiredVersion,ImageFileCharacteristics,Pages,RevisionNumber,FileVersion,FileType,Filedescription,Lines,ZipUncompressedSize,CharactersWithSpaces,FileDescription,FileCreateDate,originalfilename,ZipCompressedSize,MachineType,FileSubtype,EntryPoint,ObjectFileType,Paragraphs
105,,,,English (U.S.),ENIGMA,,,,,,Windows GUI,2016:01:07 07:10:59+01:00,PE32,,,,4.0,,,,,,11.0.0.4252,,,,,,,Unicode,,,,0,Win32,6a46f5c6d1417f159a0134941da35cca,,,ENIGMA,exe,,11.00.4252,dridex,,6.0,,11.0,11.0.0.4252,0x0000,,,,9457664,,,ENIGMA.exe,,,,Flash-Game.net offers you more than 6000 free games,4.0,,,,,,98304,application/octet-stream,,,,,,,11.00.4252,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",0,0x1868,Executable application,
106,,,,Neutral,java,,,,,,Windows command line,2015:02:08 00:48:45+01:00,PE32,,,,4.0,Copyright    2012,,,,,6.0.310.5,,,,,,,Unicode,,,,0,Win32,0111b2bd0543d5e35acde388ed8b62eb,,,Java(TM) Platform SE 6 U31,exe,,6.0.310.5,dridex,,8.0,,0.0,6.0.310.5,0x003f,,1.6.0_31-b05,,28672,,,java.exe,,,,"Sun Microsystems, Inc.",4.0,,,,,,24576,application/octet-stream,,,,,,,6.0.310.5,Win32 EXE,,,,,Java(TM) Platform SE binary,,,,"Intel 386 or later, and compatibles",0,0x5c70,Executable application,
107,,,,Neutral,java,,,,,,Windows command line,2015:02:08 11:30:41+01:00,PE32,,,,4.0,Copyright    2012,,,,,6.0.310.5,,,,,,,Unicode,,,,0,Win32,debe7758f06568d1a1d98f26ad8ef9db,,,Java(TM) Platform SE 6 U31,exe,,6.0.310.5,dridex,,8.0,,0.0,6.0.310.5,0x003f,,1.6.0_31-b05,,28672,,,java.exe,,,,"Sun Microsystems, Inc.",4.0,,,,,,24576,application/octet-stream,,,,,,,6.0.310.5,Win32 EXE,,,,,Java(TM) Platform SE binary,,,,"Intel 386 or later, and compatibles",0,0x5c70,Executable application,
108,,,,Neutral,java,,,,,,Windows command line,2015:02:09 10:05:42+01:00,PE32,,,,4.0,Copyright    2012,,,,,6.0.310.5,,,,,,,Unicode,,,,0,Win32,017d9d43baf8dc2d8451d0ef2e9a07f6,,,Java(TM) Platform SE 6 U31,exe,,6.0.310.5,dridex,,8.0,,0.0,6.0.310.5,0x003f,,1.6.0_31-b05,,28672,,,java.exe,,,,"Sun Microsystems, Inc.",4.0,,,,,,24576,application/octet-stream,,,,,,,6.0.310.5,Win32 EXE,,,,,Java(TM) Platform SE binary,,,,"Intel 386 or later, and compatibles",0,0x5c70,Executable application,
109,,,,English (U.S.),Sensor API,,,,,,Windows command line,2036:06:01 17:15:19+01:00,PE32,,,,5.0,Microsoft Corporation. All rights reserved.,,,,,6.3.9600.17415,,,,,,,Unicode,,,,8192,Windows NT 32-bit,2e0c328aae6abfb19bf02e0fbc5dea93,,,Microsoft   Windows   Operating System,exe,,6.3.9605.17415,dridex,,2.0,,1.0,6.3.9600.17415,0x003f,,,,0,,,SensorsApi.dll,,,,Microsoft Corporation,5.0,,,,,,24576,application/octet-stream,,,,,,,6.3.9605.17415 (winblue_r4.141028-1500),Win32 EXE,,,,,Sensor API,,,,"Intel 386 or later, and compatibles",0,0x4f400,Dynamic link library,
110,,,,Neutral,TouristicRecoverableStylish.exe,,,,,,Windows GUI,2007:07:12 01:14:00+01:00,PE32,,,,4.0,,,,,,0.0.0.0,,,,,,,Unicode,,,,0,Win32,2ca3d7c9f95cbb42efa447d1cbe9a885,,,,exe,1.34252,1.34252,dridex,,8.0,,0.0,0.0.0.0,0x003f,,,,2560,,,TouristicRecoverableStylish.exe,,,,,4.0,,,,,,208896,application/octet-stream,,,,,,,1.34252,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",0,0x34eee,Executable application,
111,,,,,,,,,,,Windows GUI,1997:10:25 22:19:52+01:00,PE32,,,,5.0,,,,,,,,,,,,,,,,,438272,,3b1a28c2064bacc292e473c9cd49390e,,,,exe,,,dridex,,7.1,,4.0,,,,,,86016,,,,,,,,4.1,,,,,,8192,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x1000,,
112,,,,Neutral,Peat,,,,,,Windows GUI,2005:07:24 22:16:46+01:00,PE32,,,,4.0,Copyright    1632,,,,,0.218.172.206,,,,,,,Unicode,,,,0,Windows NT 32-bit,8f3063ef8032799f71507b8f88f8a1c5,,,Joshua Pentagons,exe,,,dridex,,6.0,,0.0,0.154.15.153,0x003f,,,,2117632,,,Phoney.exe,,,,"BigFix, Inc.",4.0,,,,,,49152,application/octet-stream,,,,,,,"118, 112, 85, 118",Win32 EXE,,,,,Ontario,,,,"Intel 386 or later, and compatibles",0,0xce30,Executable application,
113,,,,Neutral,java,,,,,,Windows command line,2015:02:07 12:44:28+01:00,PE32,,,,4.0,Copyright    2012,,,,,6.0.310.5,,,,,,,Unicode,,,,0,Win32,0ed7cdd5df7bf46fac39ae32478203bb,,,Java(TM) Platform SE 6 U31,exe,,6.0.310.5,dridex,,8.0,,0.0,6.0.310.5,0x003f,,1.6.0_31-b05,,28672,,,java.exe,,,,"Sun Microsystems, Inc.",4.0,,,,,,24576,application/octet-stream,,,,,,,6.0.310.5,Win32 EXE,,,,,Java(TM) Platform SE binary,,,,"Intel 386 or later, and compatibles",0,0x5c70,Executable application,
114,,,,,,,,,,,Windows GUI,2015:07:30 17:48:19+01:00,PE32,,,,5.1,,,,,,,,,,,,,,,,,0,,59765f9d900ca3788287b683e39e01ef,,,,exe,,,dridex,,10.0,,0.0,,,,,,32768,,,,,,,,5.1,,,,,,39936,application/octet-stream,,,,"Executable, 32-bit",,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x3f4c,,
115,,,,Neutral,Sugaring,,,,,,Windows GUI,2004:12:07 07:53:58+01:00,PE32,,,,4.0,Copyright    1380,,,,,0.166.55.146,,,,,,,Unicode,,,,0,Windows NT 32-bit,1f259a88f61e45cc6f357f2fc8dacb9c,,,Squanders Toothed,exe,,,dridex,,6.0,,0.0,0.220.135.187,0x003f,,,,3756032,,,Whiten.exe,,,,InfoProcess Pty Ltd.,4.0,,,,,,49152,application/octet-stream,,,,,,,"251, 88, 251, 120",Win32 EXE,,,,,Tobacconist,,,,"Intel 386 or later, and compatibles",0,0xc600,Executable application,
116,,,,English (U.S.),EncDec.dll,,,,,,Windows command line,1991:09:25 10:38:58+01:00,PE32,,,,4.0,Copyright (C) 1992-2001 Microsoft Corp.,,,,,6.5.2600.6161,,,,,Core,,"Windows, Latin1",,,,5632,Win32,2845499946fd5882f94cc9a4375b364a,,,DirectShow,exe,,6.05.2600.6161,dridex,,0.23,,1.0,6.5.2600.6161,0x30003f,,,,124928,,,EncDec.dll,,,DXM20,Microsoft Corporation,4.0,,,,,,28160,application/octet-stream,,,,"Executable, No line numbers, 32-bit, No debug",,,6.05.2600.6161,Win32 EXE,,,,,XDSCodec & Encypter/Decrypter Tagger Filters.,,,,"Intel 386 or later, and compatibles",0,0x26670,Dynamic link library,
117,,,,,,,,,,,Windows GUI,1997:10:25 22:19:52+01:00,PE32,,,,5.0,,,,,,,,,,,,,,,,,438272,,cbb76581026efc205559598918841b32,,,,exe,,,dridex,,7.7,,4.0,,,,,,86016,,,,,,,,5.1,,,,,,8192,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x1000,,
118,,,,English (U.S.),convokes,,,,,,Windows GUI,2010:01:30 18:39:03+01:00,PE32,,,,4.0,Southernised Linus,,,,,2.7.0.6834,,,,,,,Unicode,,,,700416,Windows NT 32-bit,3a6ba8f950ce66247f8ecad7768eddaf,,,convokes seemer essives,exe,,2.7.0.6834,dridex,,2.56,,1.0,2.7.0.6834,0x003f,,,,172544,,,convokes.exe,,,,Southernised Linus,4.0,,,,,,2048,application/octet-stream,,,,,,,2.7.0.6834,Win32 EXE,,,,,convokes dkm tsh edh,,,,"Intel 386 or later, and compatibles",0,0x1630,Executable application,
119,,,,Russian,INETRES,,,,,,Windows GUI,2015:06:18 12:21:03+01:00,PE32,,,,4.0,.                                   .,,,,,6.0.2900.5512,,,,,,,Unicode,,,,0,Windows NT 32-bit,d92147110ed2fcc0de8a4fa8ce14a558,,,Microsoft   Windows,exe,,6.00.2913.5511,dridex,,9.254,,0.0,6.0.2900.5512,0x003f,,,,119296,,,INETRES.DLL,,,,,4.0,,,,,,39936,application/octet-stream,,,,,,,6.00.2913.5531 (xpsp.080413-2105),Win32 EXE,,,,,API,,,,"Intel 386 or later, and compatibles",0,0x1078,Dynamic link library,
120,,ContentsChaosGashing,,Neutral,DoctorsEndangeredConverse,,,,,,Windows GUI,2012:06:19 22:45:04+01:00,PE32,,,,4.0,EmbalmingDiagonalisedCommercials,,,,,0.0.0.0,,,,,,,Unicode,,,,0,Win32,d57f52a02404302ce2f27b7f693ca001,,,,exe,,,dridex,,6.0,,0.0,0.0.0.0,0x003f,,,,2048,,,DoctorsEndangeredConverse,,,,,4.0,,,,,,316928,application/octet-stream,,,,,,,,Win32 EXE,,,,,CowingClashCompensator,,,,"Intel 386 or later, and compatibles",0,0x4f48e,Executable application,
121,,,,Russian,SENDCMSG,,,,,,Windows GUI,1970:01:01 19:12:16+01:00,PE32,,,,4.0,.                                   .,,,,,5.1.2600.5514,,,,,,,Unicode,,,,4608,Windows NT 32-bit,f6df80f3671d48a0af931d3b8fd290d3,,,Microsoft   Windows,exe,,5.1.2500.5524,dridex,,2.24,,1.0,5.1.2600.5514,0x003f,,,,0,,,SendCMsg.dll,,,,,4.0,,,,,,41984,application/octet-stream,,,,,,,5.1.2500.5524 (xpsp.080413-2108),Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",0,0x55480,Dynamic link library,
122,,,,Neutral,DebriefingBudgedApproximates.exe,,,,,,Windows GUI,2008:07:19 16:02:57+01:00,PE32,,,,4.0,,,,,,0.0.0.0,,,,,,,Unicode,,,,0,Win32,e6cabc9b892f5b8362cbc8617228161b,,,,exe,4.3.2.1,4.3.2.1,dridex,,8.0,,0.0,0.0.0.0,0x003f,,,,27136,,,DebriefingBudgedApproximates.exe,,,,,4.0,,,,,,201216,application/octet-stream,,,,,,,4.3.2.1,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",0,0x331de,Executable application,
123,,,,Neutral,java,,,,,,Windows command line,2015:02:08 15:27:35+01:00,PE32,,,,4.0,Copyright    2012,,,,,6.0.310.5,,,,,,,Unicode,,,,0,Win32,d938a67f1cab993ce0afe47c699fa907,,,Java(TM) Platform SE 6 U31,exe,,6.0.310.5,dridex,,8.0,,0.0,6.0.310.5,0x003f,,1.6.0_31-b05,,28672,,,java.exe,,,,"Sun Microsystems, Inc.",4.0,,,,,,24576,application/octet-stream,,,,,,,6.0.310.5,Win32 EXE,,,,,Java(TM) Platform SE binary,,,,"Intel 386 or later, and compatibles",0,0x5c70,Executable application,
124,,,,English (U.S.),cliconfg.exe,,,,,,Windows command line,2016:07:12 01:36:06+01:00,PE32,,,,3.1,Microsoft Corporation. All rights reserved.,,,,,10.0.10240.16384,,,,,,,Unicode,,,,0,Windows NT 32-bit,d4c3e289e5c2240b4bc06e344be6e5b6,,,Microsoft   Windows   Operating System,exe,,10.0.10241.16387,dridex,,9.56,,0.0,10.0.10240.16384,0x003f,,,,0,,,cliconfg.exe,,,,Microsoft Corporation,4.0,,,,,,49152,application/octet-stream,,,,"No relocs, Executable, No line numbers, No symbols, Aggressive working-set trim, 32-bit",,,10.0.10241.16387 (th1.150709-1700),Win32 EXE,,,,,SQL Client Configuration Utility EXE,,,,"Intel 386 or later, and compatibles",0,0xbd10,Executable application,
125,,,,,,,,,,,Windows GUI,2015:11:09 13:35:48+01:00,PE32,,,,5.0,,,,,,,,,,,,,,,,,0,,b227c91fbc1ba56e9f01ab4f1e2e502f,,,,exe,,,dridex,,9.0,,0.0,,,,,,199168,,,,,,,,5.0,,,,,,103424,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x9e5b,,
126,,,,English (U.S.),vmui,,,,,,Windows GUI,2015:11:07 09:54:14+01:00,PE32,,,,4.0,"Copyright    1998-2015 VMware, Inc.",,,,,11.1.0.58002,,,,,,,Unicode,,,,0,Windows NT 32-bit,98b7f9ac486c577b8c3f517a03faf31e,,,VMware Workstation,exe,,11.1.0 build-2496824,dridex,,6.0,,1.0,11.1.0.58002,0x003f,,,,204800,,,vmware.exe,,,,"VMware, Inc.",4.0,,,,,,471040,application/octet-stream,,,,,,,11.1.0 build-2496824,Win32 EXE,,,,,VMware Workstation,,,,"Intel 386 or later, and compatibles",0,0x1804,Executable application,
127,,,,Neutral,java,,,,,,Windows command line,2015:02:05 21:24:04+01:00,PE32,,,,4.0,Copyright    2012,,,,,6.0.310.5,,,,,,,Unicode,,,,0,Win32,db158a28d5f831cc1450ce1f69e94459,,,Java(TM) Platform SE 6 U31,exe,,6.0.310.5,dridex,,8.0,,0.0,6.0.310.5,0x003f,,1.6.0_31-b05,,28672,,,java.exe,,,,"Sun Microsystems, Inc.",4.0,,,,,,24576,application/octet-stream,,,,,,,6.0.310.5,Win32 EXE,,,,,Java(TM) Platform SE binary,,,,"Intel 386 or later, and compatibles",0,0x5c70,Executable application,
128,,,,Neutral,java,,,,,,Windows command line,2015:02:08 16:13:31+01:00,PE32,,,,4.0,Copyright    2012,,,,,6.0.310.5,,,,,,,Unicode,,,,0,Win32,265f7a370f09fe912dfcb465ad79f2a4,,,Java(TM) Platform SE 6 U31,exe,,6.0.310.5,dridex,,8.0,,0.0,6.0.310.5,0x003f,,1.6.0_31-b05,,28672,,,java.exe,,,,"Sun Microsystems, Inc.",4.0,,,,,,24576,application/octet-stream,,,,,,,6.0.310.5,Win32 EXE,,,,,Java(TM) Platform SE binary,,,,"Intel 386 or later, and compatibles",0,0x5c70,Executable application,
129,,,,Neutral,java,,,,,,Windows command line,2015:02:05 16:31:29+01:00,PE32,,,,4.0,Copyright    2012,,,,,6.0.310.5,,,,,,,Unicode,,,,0,Win32,882435fc2acf984e252cf595e244acc6,,,Java(TM) Platform SE 6 U31,exe,,6.0.310.5,dridex,,8.0,,0.0,6.0.310.5,0x003f,,1.6.0_31-b05,,28672,,,java.exe,,,,"Sun Microsystems, Inc.",4.0,,,,,,24576,application/octet-stream,,,,,,,6.0.310.5,Win32 EXE,,,,,Java(TM) Platform SE binary,,,,"Intel 386 or later, and compatibles",0,0x5c70,Executable application,
130,,,,Neutral,java,,,,,,Windows command line,2015:02:07 05:26:12+01:00,PE32,,,,4.0,Copyright    2012,,,,,6.0.310.5,,,,,,,Unicode,,,,0,Win32,d9501e0adfdf8539c5e0cf4bef62ee2c,,,Java(TM) Platform SE 6 U31,exe,,6.0.310.5,dridex,,8.0,,0.0,6.0.310.5,0x003f,,1.6.0_31-b05,,28672,,,java.exe,,,,"Sun Microsystems, Inc.",4.0,,,,,,24576,application/octet-stream,,,,,,,6.0.310.5,Win32 EXE,,,,,Java(TM) Platform SE binary,,,,"Intel 386 or later, and compatibles",0,0x5c70,Executable application,
131,,,,Neutral,FootingFordedFortunes.exe,,,,,,Windows GUI,2008:04:18 17:32:54+01:00,PE32,,,,4.0,,,,,,0.0.0.0,,,,,,,Unicode,,,,0,Win32,f4b0f7ba911d067e754a3028b6174aee,,,,exe,10.48.0,10.48.0,dridex,,8.0,,0.0,0.0.0.0,0x003f,,,,27136,,,FootingFordedFortunes.exe,,,,,4.0,,,,,,217088,application/octet-stream,,,,,,,10.48.0,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",0,0x36e4e,Executable application,
132,,,,,,,,,,,Windows GUI,1997:10:25 22:19:52+01:00,PE32,,,,5.0,,,,,,,,,,,,,,,,,438272,,ba72f454bc216c61313c8eedf55f1082,,,,exe,,,dridex,,7.7,,4.0,,,,,,86016,,,,,,,,5.1,,,,,,8192,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x1000,,
133,,,,Neutral,java,,,,,,Windows command line,2015:02:08 20:23:23+01:00,PE32,,,,4.0,Copyright    2012,,,,,6.0.310.5,,,,,,,Unicode,,,,0,Win32,db65c736eff94e7ee5924927607f0be4,,,Java(TM) Platform SE 6 U31,exe,,6.0.310.5,dridex,,8.0,,0.0,6.0.310.5,0x003f,,1.6.0_31-b05,,28672,,,java.exe,,,,"Sun Microsystems, Inc.",4.0,,,,,,24576,application/octet-stream,,,,,,,6.0.310.5,Win32 EXE,,,,,Java(TM) Platform SE binary,,,,"Intel 386 or later, and compatibles",0,0x5c70,Executable application,
134,,,,Neutral,java,,,,,,Windows command line,2015:02:09 01:17:16+01:00,PE32,,,,4.0,Copyright    2012,,,,,6.0.310.5,,,,,,,Unicode,,,,0,Win32,dec85f017d2905f82497f31b3b551222,,,Java(TM) Platform SE 6 U31,exe,,6.0.310.5,dridex,,8.0,,0.0,6.0.310.5,0x003f,,1.6.0_31-b05,,28672,,,java.exe,,,,"Sun Microsystems, Inc.",4.0,,,,,,24576,application/octet-stream,,,,,,,6.0.310.5,Win32 EXE,,,,,Java(TM) Platform SE binary,,,,"Intel 386 or later, and compatibles",0,0x5c70,Executable application,
135,,,,Neutral,java,,,,,,Windows command line,2015:02:06 17:58:21+01:00,PE32,,,,4.0,Copyright    2012,,,,,6.0.310.5,,,,,,,Unicode,,,,0,Win32,da05fe0a977a9c30d232719288944a9a,,,Java(TM) Platform SE 6 U31,exe,,6.0.310.5,dridex,,8.0,,0.0,6.0.310.5,0x003f,,1.6.0_31-b05,,28672,,,java.exe,,,,"Sun Microsystems, Inc.",4.0,,,,,,24576,application/octet-stream,,,,,,,6.0.310.5,Win32 EXE,,,,,Java(TM) Platform SE binary,,,,"Intel 386 or later, and compatibles",0,0x5c70,Executable application,
136,,,,Neutral,java,,,,,,Windows command line,2015:02:06 04:09:14+01:00,PE32,,,,4.0,Copyright    2012,,,,,6.0.310.5,,,,,,,Unicode,,,,0,Win32,de6a14ecec8ae8150048f90d1eca363d,,,Java(TM) Platform SE 6 U31,exe,,6.0.310.5,dridex,,8.0,,0.0,6.0.310.5,0x003f,,1.6.0_31-b05,,28672,,,java.exe,,,,"Sun Microsystems, Inc.",4.0,,,,,,24576,application/octet-stream,,,,,,,6.0.310.5,Win32 EXE,,,,,Java(TM) Platform SE binary,,,,"Intel 386 or later, and compatibles",0,0x5c70,Executable application,
137,,,,Neutral,java,,,,,,Windows command line,2015:02:08 11:22:57+01:00,PE32,,,,4.0,Copyright    2012,,,,,6.0.310.5,,,,,,,Unicode,,,,0,Win32,d63a59bc621e0380eaec5bd07e47c4a9,,,Java(TM) Platform SE 6 U31,exe,,6.0.310.5,dridex,,8.0,,0.0,6.0.310.5,0x003f,,1.6.0_31-b05,,28672,,,java.exe,,,,"Sun Microsystems, Inc.",4.0,,,,,,24576,application/octet-stream,,,,,,,6.0.310.5,Win32 EXE,,,,,Java(TM) Platform SE binary,,,,"Intel 386 or later, and compatibles",0,0x5c70,Executable application,
138,,,,Neutral,java,,,,,,Windows command line,2015:02:05 01:34:53+01:00,PE32,,,,4.0,Copyright    2012,,,,,6.0.310.5,,,,,,,Unicode,,,,0,Win32,faf8433ef3b9c6fa53f13129b8d79ef3,,,Java(TM) Platform SE 6 U31,exe,,6.0.310.5,dridex,,8.0,,0.0,6.0.310.5,0x003f,,1.6.0_31-b05,,28672,,,java.exe,,,,"Sun Microsystems, Inc.",4.0,,,,,,24576,application/octet-stream,,,,,,,6.0.310.5,Win32 EXE,,,,,Java(TM) Platform SE binary,,,,"Intel 386 or later, and compatibles",0,0x5c70,Executable application,
139,,,,English (U.S.),resmon.exe,,,,,,Windows command line,2016:09:27 14:16:08+01:00,PE32,,,,3.1,Microsoft Corporation. All rights reserved.,,,,,6.1.7600.16385,,,,,,,Unicode,,,,0,Windows NT 32-bit,1a4543034cc6669184ecd4682b624198,,,Microsoft   Windows   Operating System,exe,,6.1.7600.16385,dridex,,9.56,,0.0,6.1.7600.16385,0x003f,,,,0,,,resmon.exe,,,,Microsoft Corporation,5.0,,,,,,49152,application/octet-stream,,,,,,,6.1.7600.16385 (win7_rtm.090713-1255),Win32 EXE,,,,,Resource Monitor,,,,"Intel 386 or later, and compatibles",0,0xc5d0,Executable application,
140,,,,Neutral,java,,,,,,Windows command line,2015:02:05 06:54:59+01:00,PE32,,,,4.0,Copyright    2012,,,,,6.0.310.5,,,,,,,Unicode,,,,0,Win32,49919b3662efc214bb9a9d1800303fc0,,,Java(TM) Platform SE 6 U31,exe,,6.0.310.5,dridex,,8.0,,0.0,6.0.310.5,0x003f,,1.6.0_31-b05,,28672,,,java.exe,,,,"Sun Microsystems, Inc.",4.0,,,,,,24576,application/octet-stream,,,,,,,6.0.310.5,Win32 EXE,,,,,Java(TM) Platform SE binary,,,,"Intel 386 or later, and compatibles",0,0x5c70,Executable application,
141,,,,Neutral,java,,,,,,Windows command line,2015:02:06 17:22:11+01:00,PE32,,,,4.0,Copyright    2012,,,,,6.0.310.5,,,,,,,Unicode,,,,0,Win32,ddfab0500bcdc5c098ad7fd2a1ce82ec,,,Java(TM) Platform SE 6 U31,exe,,6.0.310.5,dridex,,8.0,,0.0,6.0.310.5,0x003f,,1.6.0_31-b05,,28672,,,java.exe,,,,"Sun Microsystems, Inc.",4.0,,,,,,24576,application/octet-stream,,,,,,,6.0.310.5,Win32 EXE,,,,,Java(TM) Platform SE binary,,,,"Intel 386 or later, and compatibles",0,0x5c70,Executable application,
142,,,,,,,,,,,Windows GUI,1997:10:25 22:19:52+01:00,PE32,,,,5.0,,,,,,,,,,,,,,,,,438272,,a37072400f9efde4dd0ff39d3a5ab15c,,,,exe,,,dridex,,7.7,,4.0,,,,,,86016,,,,,,,,5.1,,,,,,8192,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x1000,,
143,,,,,,,,,,,Windows GUI,1997:10:25 22:19:52+01:00,PE32,,,,5.0,,,,,,,,,,,,,,,,,438272,,b6418505dea2ddfd514cb4d0201bb955,,,,exe,,,dridex,,7.7,,4.0,,,,,,86016,,,,,,,,5.1,,,,,,8192,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x1000,,
144,,,,English (U.S.),resmon.exe,,,,,,Windows command line,2016:09:27 04:35:10+01:00,PE32,,,,3.1,Microsoft Corporation. All rights reserved.,,,,,6.1.7600.16385,,,,,,,Unicode,,,,0,Windows NT 32-bit,6d934dee9ef917d58d3021f5fda66e91,,,Microsoft   Windows   Operating System,exe,,6.1.7600.16385,dridex,,9.56,,0.0,6.1.7600.16385,0x003f,,,,0,,,resmon.exe,,,,Microsoft Corporation,5.0,,,,,,49152,application/octet-stream,,,,,,,6.1.7600.16385 (win7_rtm.090713-1255),Win32 EXE,,,,,Resource Monitor,,,,"Intel 386 or later, and compatibles",0,0xbef0,Executable application,
145,,,,Neutral,java,,,,,,Windows command line,2015:02:07 17:43:50+01:00,PE32,,,,4.0,Copyright    2012,,,,,6.0.310.5,,,,,,,Unicode,,,,0,Win32,dd4d75cde2d7ca60ee16ed717d0dbdb0,,,Java(TM) Platform SE 6 U31,exe,,6.0.310.5,dridex,,8.0,,0.0,6.0.310.5,0x003f,,1.6.0_31-b05,,28672,,,java.exe,,,,"Sun Microsystems, Inc.",4.0,,,,,,24576,application/octet-stream,,,,,,,6.0.310.5,Win32 EXE,,,,,Java(TM) Platform SE binary,,,,"Intel 386 or later, and compatibles",0,0x5c70,Executable application,
146,,,,Neutral,java,,,,,,Windows command line,2015:02:09 09:53:52+01:00,PE32,,,,4.0,Copyright    2012,,,,,6.0.310.5,,,,,,,Unicode,,,,0,Win32,94db4504de4e3a7c00ce3deeada87a33,,,Java(TM) Platform SE 6 U31,exe,,6.0.310.5,dridex,,8.0,,0.0,6.0.310.5,0x003f,,1.6.0_31-b05,,28672,,,java.exe,,,,"Sun Microsystems, Inc.",4.0,,,,,,24576,application/octet-stream,,,,,,,6.0.310.5,Win32 EXE,,,,,Java(TM) Platform SE binary,,,,"Intel 386 or later, and compatibles",0,0x5c70,Executable application,
147,,,,Neutral,OptionalHandcarGrimaced.exe,,,,,,Windows GUI,2007:07:13 17:47:01+01:00,PE32,,,,4.0,,,,,,0.0.0.0,,,,,,,Unicode,,,,0,Win32,590f83135ecfcca3f0d1d741619133f3,,,,exe,2.2.3.4,2.2.3.4,dridex,,8.0,,0.0,0.0.0.0,0x003f,,,,25600,,,OptionalHandcarGrimaced.exe,,,,,4.0,,,,,,258048,application/octet-stream,,,,,,,2.2.3.4,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",0,0x40e7e,Executable application,
148,,CCleaner,,English (U.S.),gcleaner,,,,,,Windows GUI,2016:04:29 07:24:51+01:00,PE32,,,,5.0,Copyright    2005-2015 Piriform Ltd,,,,,5.11.0.5408,,,,,,,Unicode,,,,0,Win32,297529814d8d292594a1981fad30daa6,,,GCleaner,exe,,"5, 11, 00, 5408",locky,,9.0,,9.0,5.11.0.5408,0x0000,,,,237568,,,gcleaner.exe,,,,Piriform Ltd,5.0,,,,,,61952,application/octet-stream,,,,"No relocs, Executable, No line numbers, Large address aware, 32-bit",,,"5, 11, 00, 5408",Win32 EXE,,,,,GCleaner,,,,"Intel 386 or later, and compatibles",0,0x7e4a,Dynamic link library,
149,,CCleaner,,English (U.S.),gcleaner,,,,,,Windows GUI,2016:04:29 07:25:12+01:00,PE32,,,,5.0,Copyright    2005-2015 Piriform Ltd,,,,,5.11.0.5408,,,,,,,Unicode,,,,0,Win32,b97ed89e814ad91338a6bdd5f7853566,,,GCleaner,exe,,"5, 11, 00, 5408",locky,,9.0,,9.0,5.11.0.5408,0x0000,,,,237568,,,gcleaner.exe,,,,Piriform Ltd,5.0,,,,,,61952,application/octet-stream,,,,,,,"5, 11, 00, 5408",Win32 EXE,,,,,GCleaner,,,,"Intel 386 or later, and compatibles",0,0x7e4a,Dynamic link library,
150,,CCleaner,,English (U.S.),gcleaner,,,,,,Windows GUI,2016:04:29 07:24:54+01:00,PE32,,,,5.0,Copyright    2005-2015 Piriform Ltd,,,,,5.11.0.5408,,,,,,,Unicode,,,,0,Win32,40849d82a14058cbc91d0ecea473d1d8,,,GCleaner,exe,,"5, 11, 00, 5408",locky,,9.0,,9.0,5.11.0.5408,0x0000,,,,237568,,,gcleaner.exe,,,,Piriform Ltd,5.0,,,,,,61952,application/octet-stream,,,,"No relocs, Executable, No line numbers, Large address aware, 32-bit",,,"5, 11, 00, 5408",Win32 EXE,,,,,GCleaner,,,,"Intel 386 or later, and compatibles",0,0x7e4a,Dynamic link library,
