,fileversion,Comments,Template,LanguageCode,InternalName,SharedDoc,Company,ZipBitFlag,Originalfilename,Legalcopyright,Subsystem,TimeStamp,PEType,Legaltrademarks,FileAccessDate,productversion,OSVersion,LegalCopyright,TotalEditTime,Creator,legaltrademarks,productname,ProductVersionNumber,Warning,Application,ZipFileName,CompanyWebsite,DirectShow,ZipCRC,CharacterSet,comments,CreateDate,AppVersion,UninitializedDataSize,FileOS,md5,legalcopyright,LegalTrademarks,ProductName,FileTypeExtension,AssemblyVersion,ProductVersion,family,LinksUpToDate,LinkerVersion,filedescription,ImageVersion,FileVersionNumber,FileFlagsMask,ModifyDate,FullVersion,companyname,InitializedDataSize,Characters,ScaleCrop,OriginalFileName,Words,Productname,OLESelfRegister,CompanyName,SubsystemVersion,DocSecurity,ZipModifyDate,internalname,HeadingPairs,ZipCompression,CodeSize,MIMEType,HyperlinksChanged,LastModifiedBy,ZipRequiredVersion,ImageFileCharacteristics,Pages,RevisionNumber,FileVersion,FileType,Filedescription,Lines,ZipUncompressedSize,CharactersWithSpaces,FileDescription,FileCreateDate,originalfilename,ZipCompressedSize,MachineType,FileSubtype,EntryPoint,ObjectFileType,Paragraphs
20,,Notepad,,Chinese (Simplified),Notepad,,,,,,Windows GUI,2016:03:08 14:30:58+00:00,PE32,,,,4.0,.                                   .,,,,,1.0.0.1,,,,,,,Unicode,,,,0,Windows NT,33e3869b8f83e4f6e7cf57e37e243bd7,,,Microsoft   Windows,exe,,"1,0,0,1",CTB-locker,,6.0,,0.0,1.0.0.1,0x003f,,,,749568,,,NOTEPAD.EXE,,,,,4.0,,,,,,40960,application/octet-stream,,,,,,,"1,0,0,1",Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",0,0x98e4,Executable application,
21,,,,,,,,,,,Windows GUI,2016:03:09 14:03:47+01:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,49152,,442d975dbb126cbc2e67e87e3fbdb3e7,,,,exe,,,CTB-locker,,6.5,,0.0,,,,,,49152,,,,,,,,4.2048,,,,,,16384,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x23b6,,
22,,,,,,,,,,,Windows GUI,2016:02:13 04:59:54+01:00,PE32,,,,4.0,,,,,,1.0.0.1,Possibly corrupt Version resource,,,,,,,,,,0,Windows NT 32-bit,18770c7b60ea583d6a7f24f87ac1ba79,,,,exe,,,CTB-locker,,5.5,,0.0,1.0.0.1,0x003f,,,,749568,,,,,,,,4.5,,,,,,32768,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",0,0x859e,Executable application,
23,,,,,,,,,,,Windows GUI,2017:02:27 00:51:57+00:00,PE32,,,,5.0,,,,,,,Error processing PE data dictionary,,,,,,,,,,0,,1bf842a82acfa384cff8cafcc70847fe,,,,exe,,,CTB-locker,,7.1,,0.0,,,,,,757760,,,,,,,,4.4,,,,,,61440,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0xccce,,
24,,,,,,,,,,,Windows GUI,2016:02:11 15:28:44+01:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,0,,2d1626395dd249c3f0945597c3f6d82a,,,,exe,,,CTB-locker,,5.6,,0.0,,,,,,57344,,,,,,,,4.0,,,,,,32768,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x76b2,,
25,,,,,,,,,,,Windows GUI,2016:02:11 15:28:44+01:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,0,,3f40a4f7e25909f83fb3c9eea43fc5a6,,,,exe,,,CTB-locker,,8.6,,0.0,,,,,,57344,,,,,,,,4.0,,,,,,32768,application/octet-stream,,,,"Executable, No line numbers, No symbols, 32-bit",,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x76b2,,
26,,,,,,,,,,,Windows GUI,2016:02:01 17:16:09+01:00,PE32,,,,3.5,,,,,,,,,,,,,,,,,0,,afd71522bec434cdc6b88846a9492aac,,,,exe,,,CTB-locker,,7.5,,0.0,,,,,,753664,,,,,,,,4.0,,,,,,49152,application/octet-stream,,,,"Executable, Aggressive working-set trim, 32-bit",,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0xa016,,
27,,,,Icelandic,Ex_List,,,,,,Windows GUI,2016:02:13 04:59:54+01:00,PE32,,,,4.0,(C) 2015,,,,,1.0.0.1,,,,,,,Unicode,,,,8388608,Windows NT 32-bit,7c5880d358198f2b987335759dde6ac7,,,Ex_List,exe,,"1, 0, 0, 1",CTB-locker,,5.0,,0.0,1.0.0.1,0x003f,,,,32768,,,Ex_List.exe,,,,,4.0,,,,,,32768,application/octet-stream,,,,,,,"1, 0, 0, 1",Win32 EXE,,,,,Ex_List,,,,"Intel 386 or later, and compatibles",0,0x859e,Executable application,
28,,,,,,,,,,,Windows GUI,2016:02:11 15:28:44+01:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,0,,d769cb11f4779d0054fd9a877abab214,,,,exe,,,CTB-locker,,5.6,,0.0,,,,,,57344,,,,,,,,4.0,,,,,,32768,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x76b2,,
29,,,,,,,,,,,Windows GUI,2016:02:01 17:16:09+01:00,PE32,,,,3.5,,,,,,,,,,,,,,,,,0,,9df802d586aa99385940f62f4bf4b1ee,,,,exe,,,CTB-locker,,5.5,,0.0,,,,,,40960,,,,,,,,4.0,,,,,,49152,application/octet-stream,,,,"Executable, Aggressive working-set trim, 32-bit",,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0xa016,,
